722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7019 -9582 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7141 -9521 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7080 -9582 -691711 0 0 0
722045 -7019 -9521 -691711 0 0 0
718811 -7202 -9521 -695068 0 0 0
712829 -7812 -9521 -701232 0 0 0
712768 -8972 -32287 -700622 0 0 0
709655 -10620 -53161 -702453 0 0 0
705871 1159 -65612 -705261 0 0 0
700195 8850 -61645 -711181 0 0 0
697448 4333 -56457 -714355 0 0 0
704528 1770 -42724 -708374 0 0 0
720031 -11047 -36254 -692932 0 0 0
730712 -13732 -23986 -682128 0 0 0
742492 -20996 -10498 -669433 0 0 0
751464 -30639 4638 -659057 0 0 0
765930 -28930 16662 -642089 0 0 0
770446 -50476 14038 -635314 0 0 0
771606 -47485 33752 -633422 0 0 0
781982 -68847 40954 -618164 0 0 0
782592 -78735 39245 -616272 0 0 0
790710 -84533 40405 -604980 0 0 0
796752 -71350 48950 -598022 0 0 0
801391 -69763 39733 -592712 0 0 0
799255 -66101 48156 -595397 0 0 0
789306 -73547 47485 -607727 0 0 0
779785 -77819 50048 -619140 0 0 0
767395 -88623 51513 -632873 0 0 0
758972 -88134 59692 -642334 0 0 0
749877 -90576 60363 -652587 0 0 0
743164 -87585 60058 -660644 0 0 0
740844 -83557 51452 -664428 0 0 0
741882 -72692 45043 -665039 0 0 0
745788 -67016 33813 -661926 0 0 0
751342 -63598 28381 -656188 0 0 0
759094 -62072 23681 -647522 0 0 0
765319 -64086 15258 -640258 0 0 0
776367 -64697 4638 -626953 0 0 0
782409 -70312 -2807 -618774 0 0 0
791748 -75073 -6347 -606201 0 0 0
798950 -87402 -5737 -594970 0 0 0
806823 -94116 -8666 -583190 0 0 0
811767 -98693 -10803 -575439 0 0 0
816955 -99609 -11108 -567932 0 0 0
822326 -102355 -9277 -559631 0 0 0
828002 -105834 -10559 -550598 0 0 0
831298 -102661 -6896 -546203 0 0 0
836853 -101196 -1770 -538024 0 0 0
841430 -98144 7934 -531311 0 0 0
846618 -94482 18676 -523437 0 0 0
852600 -90148 30151 -513793 0 0 0
855346 -92895 41870 -507995 0 0 0
859313 -93750 50964 -500244 0 0 0
